       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore    BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.840012                 0.828190          0.812198                      0.835495          0.019087                      0.000789          0.187802                      0.164505  4.757009e-01                0.235324   0.753529               0.728758      0.787756                  0.772115        0.359884                    0.278253  151.369822           334.877167
L2N64    2.0     64.0     0.841087                 0.830953          0.878540                      0.859598          0.011790                      0.008439          0.121460                      0.140402  5.440958e-01                0.233300   0.749664               0.741031      0.791597                  0.773726        0.340666                    0.274610  287.073402           418.210307
L3N64    3.0     64.0     0.838784                 0.830493          0.824048                      0.686952          0.010746                      0.043776          0.175952                      0.313048  4.814781e-01                0.232947   0.731379               0.739638      0.795768                  0.773236        0.334194                    0.323057  366.896395           472.837897
L4N64    4.0     64.0     0.838784                 0.814985          0.855733                      0.708153          0.014967                      0.017946          0.144267                      0.291847  5.325932e-01                0.282366   0.757293               0.755776      0.784056                  0.747262        0.344363                    0.308215  457.402548           571.604331
L5N64    5.0     64.0     0.838016                 0.826194          0.825084                      0.749079          0.006850                      0.015979          0.174916                      0.250921  4.760087e-01                0.248701   0.743069               0.737461      0.787713                  0.765617        0.318496                    0.348016  365.745574           645.669382
L1N32    1.0     32.0     0.839091                 0.822509          0.879676                      0.870468          0.013311                      0.007787          0.120324                      0.129532  4.987766e-01                0.256521   0.749003               0.748535      0.787563                  0.757728        0.357506                    0.323443  223.317324           326.586980
L2N32    2.0     32.0     0.837863                 0.829572          0.849101                      0.817458          0.015012                      0.010691          0.150899                      0.182542  4.927857e-01                0.234729   0.743621               0.733588      0.787133                  0.773313        0.338197                    0.299685  271.882612           403.217383
L3N32    3.0     32.0     0.836634                 0.826347          0.864343                      0.794168          0.008733                      0.005394          0.135657                      0.205832  5.171793e-01                0.249193   0.723213               0.744095      0.795402                  0.764540        0.329312                    0.340674  329.293968           405.587536
L4N32    4.0     32.0     0.833717                 0.759251          0.774485                      0.078173          0.028244                      0.000000          0.225515                      0.921827  4.237564e-01                0.038847   0.708879               0.500000      0.797940                  0.379625        0.358785                    0.500345  385.478369           545.513552
L5N32    5.0     32.0     0.830646                 0.823584          0.718274                      0.797639          0.025100                      0.003185          0.281726                      0.202361  2.798539e-01                0.267927   0.722972               0.747065      0.780130                  0.759544        0.392833                    0.334770  438.044312           624.572999
L1N16    1.0     16.0     0.834792                 0.759251          0.796983                      0.366413          0.027951                      0.000000          0.203017                      0.633587  4.295651e-01                0.170766   0.742470               0.500000      0.781010                  0.379625        0.347718                    0.320767  212.896601           278.621104
L2N16    2.0     16.0     0.831875                 0.759251          0.802257                      0.445189          0.018470                      0.000000          0.197743                      0.554811  4.173743e-01                0.189638   0.744686               0.500000      0.774459                  0.379625        0.334827                    0.366202  269.600816           398.332420
L3N16    3.0     16.0     0.833257                 0.759251          0.745113                      0.369490          0.018972                      0.000000          0.254887                      0.630510  3.662888e-01                0.093638   0.742765               0.500000      0.777758                  0.379625        0.375412                    0.366219  323.223711           465.114233
L4N16    4.0     16.0     0.830953                 0.759251          0.683239                      0.047831          0.016216                      0.000000          0.316761                      0.952169  3.508372e-01                0.027748   0.729489               0.500000      0.777843                  0.379625        0.346549                    0.545614  381.586264           518.120948
L5N16    5.0     16.0     0.824658                 0.759251          0.820099                      0.315519          0.001268                      0.000123          0.179901                      0.684481  3.383604e-01                0.160279   0.738845               0.500000      0.762559                  0.379625        0.340082                    0.301407  436.240962           614.427847
L1N8     1.0      8.0     0.835099                 0.759251          0.768576                      0.365258          0.006371                      0.000000          0.231424                      0.634742  3.393644e-01                0.141513   0.723944               0.500000      0.790781                  0.379625        0.337031                    0.333376  210.043149           322.352452
L2N8     2.0      8.0     0.835867                 0.759251          0.834256                      0.375327          0.013331                      0.000000          0.165744                      0.624673  4.334736e-01                0.168153   0.737080               0.500000      0.785574                  0.379625        0.344405                    0.352719  275.275890           397.090986
L3N8     3.0      8.0     0.835099                 0.759251          0.748876                      0.465985          0.000000                      0.000000          0.251124                      0.534015  3.321015e-01                0.112678   0.739623               0.500000      0.782767                  0.379625        0.369823                    0.354614  241.458392           481.792140
L4N8     4.0      8.0     0.824351                 0.759251          0.611134                      0.005890          0.000000                      0.000000          0.388866                      0.994110  2.673122e-01                0.000357   0.674620               0.500000      0.800785                  0.379625        0.366587                    0.525063  380.005472           536.009397
L5N8     5.0      8.0     0.814985                 0.759251          0.437673                      0.000837          0.000000                      0.000001          0.562327                      0.999163  1.770761e-01                0.000173   0.747283               0.500000      0.746960                  0.379625        0.472668                    0.537452  433.675372           623.433701
L1N4     1.0      4.0     0.759251                 0.759251          0.000000                      0.425038          0.000000                      0.000000          1.000000                      0.574962  0.000000e+00                0.138779   0.500000               0.500000      0.379625                  0.379625        0.514896                    0.339519   98.703923           330.544544
L2N4     2.0      4.0     0.829111                 0.759251          0.597618                      0.140884          0.000000                      0.000000          0.402382                      0.859116  2.998021e-01                0.055413   0.728493               0.500000      0.774189                  0.379625        0.373907                    0.429598  271.033042           398.945956
L3N4     3.0      4.0     0.823737                 0.759251          0.592481                      0.013230          0.000000                      0.000000          0.407519                      0.986770  2.570699e-01                0.000008   0.738891               0.500000      0.760942                  0.379625        0.413874                    0.584404  327.787488           476.204504
L4N4     4.0      4.0     0.828343                 0.759251          0.646910                      0.000000          0.000000                      0.000000          0.353090                      1.000000  2.705366e-01                0.000000   0.699025               0.500000      0.789482                  0.379625        0.375880                    0.515011  380.436406           429.430862
L5N4     5.0      4.0     0.820666                 0.736834          0.628431                      0.509694          0.000000                      0.000000          0.371569                      0.490306  2.490927e-01                0.109152   0.732514               0.753307      0.756699                  0.692855        0.383632                    0.350984  436.001236           615.441695
L1N2     1.0      2.0     0.759251                 0.759251          0.000000                      0.428315          0.000000                      0.000000          1.000000                      0.571685  0.000000e+00                0.146021   0.500000               0.500000      0.379625                  0.379625        0.513574                    0.368613  215.456356           331.369003
L2N2     2.0      2.0     0.759251                 0.759251          0.475110                      0.023726          0.000000                      0.000000          0.524890                      0.976274  1.514311e-01                0.000021   0.500000               0.500000      0.379625                  0.379625        0.422240                    0.514087  272.129186           399.346552
L3N2     3.0      2.0     0.759251                 0.759251          0.000000                      0.067179          0.000000                      0.000000          1.000000                      0.932821  0.000000e+00                0.012197   0.500000               0.500000      0.379625                  0.379625        0.513881                    0.529691  208.162371           472.091577
L4N2     4.0      2.0     0.759251                 0.759251          0.000162                      0.000000          0.000000                      0.000000          0.999838                      1.000000  4.593392e-07                0.000000   0.500000               0.500000      0.379625                  0.379625        0.507375                    0.554709  378.314797           544.628555
L5N2     5.0      2.0     0.759251                 0.759251          0.361459                      0.000000          0.000000                      0.000000          0.638541                      1.000000  9.881664e-02                0.000000   0.500000               0.500000      0.379625                  0.379625        0.397093                    0.511314  439.080542           615.986501
