       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore    BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.835560                 0.826808          0.852135                      0.794234          0.020655                  8.267164e-05          0.147865                      0.205766  4.668089e-01                0.214046   0.738402               0.730896      0.784293                  0.768552        0.356457                    0.326761  225.484610           341.292874
L2N64    2.0     64.0     0.836788                 0.826040          0.816832                      0.789604          0.007247                  1.287460e-04          0.183168                      0.210396  4.273041e-01                0.222013   0.720048               0.709268      0.798135                  0.775922        0.339765                    0.309875  289.548932           418.511130
L3N64    3.0     64.0     0.842469                 0.794104          0.902448                      0.352913          0.008822                  1.428294e-02          0.097552                      0.647087  5.433525e-01                0.160183   0.749485               0.595251      0.794765                  0.778151        0.331566                    0.342166  343.361051           505.386094
L4N64    4.0     64.0     0.837709                 0.824505          0.817134                      0.886609          0.012865                  2.600610e-02          0.182866                      0.113391  5.128831e-01                0.272008   0.728712               0.742010      0.794641                  0.761738        0.364906                    0.264920  411.463896           584.861682
L5N64    5.0     64.0     0.837402                 0.759251          0.840515                      0.424784          0.008138                  2.152205e-02          0.159485                      0.575216  4.027892e-01                0.229406   0.738091               0.500000      0.788627                  0.379625        0.356860                    0.281323  476.695294           549.181432
L1N32    1.0     32.0     0.834945                 0.824505          0.812974                      0.569167          0.010025                  0.000000e+00          0.187026                      0.430833  3.886035e-01                0.194974   0.722101               0.731557      0.791551                  0.763871        0.351253                    0.356286  227.518563           341.590354
L2N32    2.0     32.0     0.833257                 0.821895          0.830959                      0.471974          0.008546                  1.318365e-02          0.169041                      0.528026  4.599745e-01                0.181278   0.721642               0.690205      0.787377                  0.776653        0.334211                    0.342334  283.768073           418.456905
L3N32    3.0     32.0     0.833410                 0.810993          0.812060                      0.436655          0.021519                  6.858706e-04          0.187940                      0.563345  4.184348e-01                0.167155   0.738946               0.652104      0.779415                  0.773815        0.353827                    0.345190  343.828553           499.846272
L4N32    4.0     32.0     0.832182                 0.759251          0.766500                      0.349153          0.005647                  9.272099e-04          0.233500                      0.650847  3.835345e-01                0.154985   0.724854               0.500000      0.782881                  0.379625        0.374126                    0.326726  284.071590           577.758028
L5N32    5.0     32.0     0.831107                 0.804238          0.746822                      0.420808          0.012345                  0.000000e+00          0.253178                      0.579192  3.772921e-01                0.120373   0.740261               0.628056      0.774260                  0.775341        0.356839                    0.478154  458.137412           644.510251
L1N16    1.0     16.0     0.833257                 0.783356          0.818300                      0.439982          0.007502                  0.000000e+00          0.181700                      0.560018  4.656765e-01                0.112836   0.752347               0.565961      0.775059                  0.771808        0.343826                    0.345507  221.944181           340.114790
L2N16    2.0     16.0     0.834331                 0.810379          0.725349                      0.869445          0.010337                  3.801942e-03          0.274651                      0.130555  4.074190e-01                0.307870   0.730407               0.775390      0.785212                  0.744615        0.351995                    0.349760  162.551454           415.251923
