       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.834331                 0.830186          0.829752                      0.823142          0.017280                      0.001554          0.170248                      0.176858    0.426120            2.394897e-01   0.716034               0.743356      0.794062                  0.771612        0.348418                    0.316517  218.450940           329.594942
L2N64    2.0     64.0     0.834485                 0.825426          0.861502                      0.784172          0.011229                      0.000672          0.138498                      0.215828    0.468532            1.891213e-01   0.720273               0.698846      0.791511                  0.780818        0.339546                    0.305002  279.320330           288.258265
L3N64    3.0     64.0     0.839245                 0.827576          0.874567                      0.797076          0.020154                      0.001452          0.125433                      0.202924    0.541247            2.659859e-01   0.744313               0.735322      0.789899                  0.768777        0.346169                    0.285745  340.492413           485.049506
L4N64    4.0     64.0     0.837556                 0.823123          0.852075                      0.725251          0.017829                      0.014171          0.147925                      0.274749    0.505433            1.331978e-01   0.734272               0.672069      0.790966                  0.799020        0.357086                    0.319379  399.908637           562.949129
L5N64    5.0     64.0     0.837095                 0.815292          0.872392                      0.841078          0.021758                      0.003732          0.127608                      0.158922    0.506602            2.981204e-01   0.747470               0.759898      0.783963                  0.747904        0.350760                    0.324894  466.932156           522.412776
L1N32    1.0     32.0     0.838016                 0.828650          0.797192                      0.828763          0.019077                      0.000449          0.202808                      0.171237    0.481710            1.979845e-01   0.747642               0.712293      0.785823                  0.780951        0.364738                    0.295971  216.110396           330.829039
L2N32    2.0     32.0     0.837709                 0.825426          0.795742                      0.770717          0.014473                      0.000445          0.204258                      0.229283    0.476162            2.147936e-01   0.738947               0.721929      0.788924                  0.768690        0.348003                    0.321020  275.459536           404.989229
L3N32    3.0     32.0     0.838323                 0.825119          0.798693                      0.823921          0.015100                      0.000144          0.201307                      0.176079    0.456855            1.949343e-01   0.743924               0.702781      0.788018                  0.777318        0.366186                    0.310925  335.458553           372.838815
L4N32    4.0     32.0     0.836634                 0.759251          0.748288                      0.338134          0.019385                      0.001826          0.251712                      0.661866    0.398101            1.213585e-01   0.728004               0.500000      0.792275                  0.379625        0.357191                    0.332082  384.498784           546.152535
L5N32    5.0     32.0     0.836634                 0.759251          0.725177                      0.396609          0.008308                      0.000008          0.274823                      0.603391    0.405346            1.523927e-01   0.721035               0.500000      0.796957                  0.379625        0.335898                    0.322140  443.014588           619.914216
