       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore    BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.836327                 0.829725          0.832373                      0.885843          0.020621                  2.295792e-02          0.167627                      0.114157  4.199020e-01                0.238308   0.735423               0.740222      0.787427                  0.771573        0.350587                    0.285276  221.070396           294.728462
L2N64    2.0     64.0     0.839245                 0.826194          0.842503                      0.840317          0.008656                  3.868937e-04          0.157497                      0.159683  4.716675e-01                0.207175   0.747797               0.704796      0.788381                  0.778981        0.339602                    0.285515  283.067300           411.640394
L3N64    3.0     64.0     0.835406                 0.829111          0.821876                      0.851396          0.006717                  6.127954e-04          0.178124                      0.148604  4.863633e-01                0.207210   0.725671               0.708677      0.790516                  0.784489        0.342301                    0.269834  342.131457           625.115933
L4N64    4.0     64.0     0.838784                 0.776294          0.912568                      0.365164          0.019812                  3.007877e-02          0.087432                      0.634836  5.864479e-01                0.157463   0.749672               0.541057      0.786655                  0.807568        0.316985                    0.338226  353.119352           569.231929
L5N64    5.0     64.0     0.837709                 0.779518          0.863963                      0.933602          0.012520                  6.061792e-05          0.136037                      0.066398  5.440764e-01                0.375879   0.762247               0.769874      0.780738                  0.719373        0.334391                    0.308674  463.364802           641.595147
L1N32    1.0     32.0     0.839552                 0.826961          0.828607                      0.773172          0.013660                  1.101470e-02          0.171393                      0.226828  5.138979e-01                0.196425   0.747128               0.710963      0.789331                  0.777338        0.348221                    0.300088  216.364121           330.735470
L2N32    2.0     32.0     0.838170                 0.823123          0.821169                      0.873523          0.011926                  1.646101e-02          0.178831                      0.126477  4.506956e-01                0.211303   0.723353               0.705169      0.799614                  0.770718        0.336360                    0.274874  278.630866           328.805353
L3N32    3.0     32.0     0.837863                 0.826961          0.769700                      0.709777          0.018536                  9.070635e-04          0.230300                      0.290223  4.700704e-01                0.246244   0.728813               0.736877      0.794981                  0.767190        0.355462                    0.320579  329.062587           476.186898
L4N32    4.0     32.0     0.832949                 0.826347          0.712466                      0.823591          0.027987                  4.066229e-03          0.287534                      0.176409  3.409426e-01                0.204937   0.739079               0.709905      0.778400                  0.776354        0.387652                    0.292200  384.817784           552.740123
L5N32    5.0     32.0     0.834024                 0.827269          0.780267                      0.718464          0.005512                  2.401471e-04          0.219733                      0.281536  3.983562e-01                0.216704   0.735867               0.729022      0.781973                  0.770092        0.323566                    0.356527  443.245031           506.882337
L1N16    1.0     16.0     0.836634                 0.826808          0.784581                      0.788884          0.030771                  0.000000e+00          0.215419                      0.211116  5.043012e-01                0.252099   0.716680               0.739825      0.800342                  0.766209        0.357505                    0.295981  214.295102           325.666547
L2N16    2.0     16.0     0.834024                 0.825887          0.820291                      0.826333          0.011141                  5.679131e-03          0.179709                      0.173667  4.360712e-01                0.279476   0.737826               0.753155      0.781162                  0.762519        0.354651                    0.327478  267.672359           401.210938
L3N16    3.0     16.0     0.837402                 0.759251          0.813864                      0.417232          0.015742                  7.688999e-06          0.186136                      0.582768  4.997265e-01                0.148767   0.733082               0.500000      0.791246                  0.379625        0.350604                    0.319818  324.210140           474.395087
L4N16    4.0     16.0     0.833717                 0.796868          0.724166                      0.402782          0.015487                  1.112819e-04          0.275834                      0.597218  3.982913e-01                0.121451   0.746988               0.592280      0.777350                  0.810857        0.363781                    0.485083  261.705578           539.335571
L5N16    5.0     16.0     0.812068                 0.759251          0.759247                      0.012762          0.000984                  3.576279e-07          0.240753                      0.987238  3.165602e-01                0.004191   0.731425               0.500000      0.742995                  0.379625        0.432788                    0.565291  433.428756           618.667155
L1N8     1.0      8.0     0.837095                 0.759251          0.829767                      0.432267          0.022433                  0.000000e+00          0.170233                      0.567733  4.430753e-01                0.144724   0.735711               0.500000      0.789095                  0.379625        0.361988                    0.338588  212.900736           325.231760
L2N8     2.0      8.0     0.836174                 0.759251          0.686722                      0.370456          0.027163                  0.000000e+00          0.313278                      0.629544  4.089413e-01                0.126955   0.732274               0.500000      0.788677                  0.379625        0.394724                    0.359577  231.618611           413.144793
L3N8     3.0      8.0     0.759251                 0.759251          0.385602                      0.015826          0.000000                  0.000000e+00          0.614398                      0.984174  1.405379e-01                0.000690   0.500000               0.500000      0.379625                  0.379625        0.415075                    0.554232  325.862725           469.024606
L4N8     4.0      8.0     0.834945                 0.759251          0.862945                      0.000000          0.003582                  0.000000e+00          0.137055                      1.000000  4.617309e-01                0.000000   0.733207               0.500000      0.785277                  0.379625        0.327870                    0.595251  374.996906           541.954546
L5N8     5.0      8.0     0.822816                 0.759251          0.668579                      0.000000          0.000000                  0.000000e+00          0.331421                      1.000000  2.829385e-01                0.000000   0.746995               0.500000      0.758342                  0.379625        0.364732                    0.591367  432.684157           610.242287
L1N4     1.0      4.0     0.759251                 0.759251          0.410316                      0.386988          0.000000                  0.000000e+00          0.589684                      0.613012  1.275371e-01                0.149809   0.500000               0.500000      0.379625                  0.379625        0.439169                    0.330346  212.450628           325.325973
L2N4     2.0      4.0     0.835560                 0.759251          0.578582                      0.319252          0.000000                  0.000000e+00          0.421418                      0.680748  3.141732e-01                0.109179   0.729691               0.500000      0.788573                  0.379625        0.372378                    0.346149  270.209788           396.796142
L3N4     3.0      4.0     0.759251                 0.759251          0.018810                      0.000000          0.000000                  0.000000e+00          0.981190                      1.000000  1.019807e-02                0.000000   0.500000               0.500000      0.379625                  0.379625        0.570571                    0.526390  247.458358           472.949019
L4N4     4.0      4.0     0.759251                 0.759251          0.000000                      0.000000          0.000000                  0.000000e+00          1.000000                      1.000000  0.000000e+00                0.000000   0.500000               0.500000      0.379625                  0.379625        0.563400                    0.518602  380.008411           548.706705
L5N4     5.0      4.0     0.759251                 0.759251          0.000000                      0.002064          0.000000                  0.000000e+00          1.000000                      0.997936  0.000000e+00                0.000384   0.500000               0.500000      0.379625                  0.379625        0.574788                    0.529450  445.793537           549.199238
L1N2     1.0      2.0     0.759251                 0.759251          0.000000                      0.373782          0.000000                  0.000000e+00          1.000000                      0.626218  0.000000e+00                0.149145   0.500000               0.500000      0.379625                  0.379625        0.512047                    0.325350  212.158238           326.676955
L2N2     2.0      2.0     0.759251                 0.759251          0.000000                      0.458980          0.000000                  0.000000e+00          1.000000                      0.541020  0.000000e+00                0.112734   0.500000               0.500000      0.379625                  0.379625        0.513814                    0.338560  268.680604           394.931448
L3N2     3.0      2.0     0.720866                 0.759251          0.492870                      0.000000          0.000000                  0.000000e+00          0.507130                      1.000000  1.470437e-01                0.000000   0.772189               0.500000      0.700437                  0.379625        0.430268                    0.513452  322.075847           360.786996
L4N2     4.0      2.0     0.759251                 0.759251          0.000000                      0.000000          0.000000                  0.000000e+00          1.000000                      1.000000  0.000000e+00                0.000000   0.500000               0.500000      0.379625                  0.379625        0.565450                    0.514159  376.312383           545.371039
L5N2     5.0      2.0     0.759251                 0.759251          0.000005                      0.009924          0.000000                  0.000000e+00          0.999995                      0.990076  1.513682e-08                0.000003   0.500000               0.500000      0.379625                  0.379625        0.554489                    0.579542  429.322972           611.676997
