       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore    BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.838938                 0.822969          0.829196                      0.857577          0.009566                      0.016582          0.170804                      0.142423  4.320459e-01                0.272206   0.726036               0.745572      0.799808                  0.758732        0.351510                    0.277152  228.835853           332.036126
L2N64    2.0     64.0     0.839398                 0.826347          0.818919                      0.767725          0.015401                      0.005069          0.181081                      0.232275  4.810127e-01                0.249286   0.725033               0.743659      0.801868                  0.764619        0.350085                    0.296752  295.071541           434.651207
L3N64    3.0     64.0     0.842622                 0.823737          0.892866                      0.785130          0.017403                      0.000169          0.107134                      0.214870  6.103091e-01                0.254908   0.749586               0.740198      0.795065                  0.760724        0.328328                    0.331906  375.838124           511.592401
L4N64    4.0     64.0     0.833564                 0.824965          0.854807                      0.811626          0.006391                      0.000180          0.145193                      0.188374  4.716013e-01                0.212123   0.760388               0.703116      0.773940                  0.776692        0.343751                    0.309410  296.805138           590.622582
L5N64    5.0     64.0     0.835406                 0.806387          0.880627                      0.491080          0.012135                      0.010507          0.119373                      0.508920  5.445125e-01                0.163861   0.767046               0.628600      0.775882                  0.785775        0.353199                    0.323091  480.876392           674.788736
L1N32    1.0     32.0     0.832949                 0.824198          0.832152                      0.829786          0.014510                      0.000000          0.167848                      0.170214  4.033362e-01                0.274278   0.744740               0.739630      0.776526                  0.761611        0.351639                    0.280056  240.172605           233.364276
L2N32    2.0     32.0     0.832796                 0.828190          0.676757                      0.759797          0.007345                      0.010604          0.323243                      0.240203  3.891867e-01                0.253340   0.730485               0.733766      0.781580                  0.770444        0.357341                    0.318944  284.924949           418.688661
L3N32    3.0     32.0     0.834792                 0.759251          0.842330                      0.374511          0.004802                      0.001003          0.157670                      0.625489  4.259687e-01                0.156428   0.735501               0.500000      0.783852                  0.379625        0.344471                    0.345000  344.830493           495.702245
L4N32    4.0     32.0     0.835099                 0.759251          0.877590                      0.426251          0.006729                      0.000103          0.122410                      0.573749  4.850801e-01                0.147790   0.752253               0.500000      0.778492                  0.379625        0.359149                    0.317876  398.240591           552.147261
L5N32    5.0     32.0     0.834024                 0.759251          0.780747                      0.378869          0.008877                      0.000023          0.219253                      0.621131  4.078241e-01                0.156958   0.722583               0.500000      0.788805                  0.379625        0.346006                    0.348504  458.408839           647.772512
L1N16    1.0     16.0     0.835406                 0.817749          0.887070                      0.411919          0.009735                      0.000133          0.112930                      0.588081  5.009672e-01                0.168416   0.751149               0.750192      0.779388                  0.750738        0.336785                    0.367774  225.439686           340.552232
L2N16    2.0     16.0     0.830953                 0.826501          0.722324                      0.807365          0.011572                      0.000297          0.277676                      0.192635  3.494058e-01                0.201295   0.723827               0.700860      0.780440                  0.782500        0.339638                    0.318145  279.862259           410.143503
L3N16    3.0     16.0     0.828190                 0.824505          0.806529                      0.567028          0.005661                      0.003730          0.193471                      0.432972  4.466820e-01                0.202048   0.758809               0.719580      0.765512                  0.767563        0.354839                    0.349366  213.030559           484.569301
L4N16    4.0     16.0     0.831414                 0.759251          0.731957                      0.000000          0.024057                      0.000000          0.268043                      1.000000  3.901426e-01                0.000000   0.746342               0.500000      0.773146                  0.379625        0.384864                    0.519834  395.182224           567.264352
L5N16    5.0     16.0     0.831414                 0.759251          0.646506                      0.001483          0.000000                      0.000000          0.353494                      0.998517  3.202219e-01                0.000265   0.733277               0.500000      0.777318                  0.379625        0.408958                    0.550876  447.774501           635.357540
L1N8     1.0      8.0     0.828804                 0.823584          0.741350                      0.684667          0.022830                      0.005155          0.258650                      0.315333  4.097378e-01                0.207559   0.713265               0.722458      0.780778                  0.764621        0.352245                    0.335660  220.116105           334.927119
L2N8     2.0      8.0     0.828650                 0.759251          0.648769                      0.373894          0.035719                      0.000000          0.351231                      0.626106  2.974621e-01                0.146373   0.715342               0.500000      0.779209                  0.379625        0.392681                    0.338787  278.709715           413.191067
L3N8     3.0      8.0     0.831261                 0.759251          0.772695                      0.394763          0.000000                      0.004407          0.227305                      0.605237  3.791898e-01                0.139026   0.718803               0.500000      0.783901                  0.379625        0.335060                    0.332947  332.148241           485.166228
L4N8     4.0      8.0     0.829265                 0.759251          0.737419                      0.184243          0.000044                      0.000000          0.262581                      0.815757  3.529848e-01                0.079343   0.712698               0.500000      0.782327                  0.379625        0.360936                    0.552542  390.184039           524.472055
