       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore  BNNAvgDiff  BNNAdversaryAvgDiff  BNNRecall  BNNAdversaryRecall  BNNPrecision  BNNAdversaryPrecision  BNNMeanEntropy  BNNAdversaryMeanEntropy
L1N64     0.832028              0.824351          0.727091                   0.843151          0.004443               4.498243e-03          0.272909                   0.156849    0.359882             0.207476   0.758288            0.737554      0.771731               0.762263        0.355405                 0.308936
L2N64     0.830032              0.824505          0.594159                   0.781664          0.010012               1.912606e-02          0.405841                   0.218336    0.274923             0.248663   0.683805            0.748761      0.812164               0.760818        0.362692                 0.307594
L3N64     0.831261              0.827729          0.666404                   0.891916          0.005258               2.556443e-04          0.333596                   0.108084    0.332056             0.174592   0.752557            0.707985      0.771466               0.781140        0.378378                 0.261900
L4N64     0.836942              0.759251          0.666823                   0.404692          0.004663               3.090203e-03          0.333177                   0.595308    0.314995             0.152297   0.736046            0.500000      0.788562               0.379625        0.363749                 0.345546
L5N64     0.840780              0.817442          0.651680                   0.633001          0.000838               5.054474e-05          0.348320                   0.366999    0.324156             0.102305   0.735089            0.650253      0.798626               0.806123        0.370823                 0.303749
L1N32     0.828190              0.808076          0.670966                   0.796888          0.010534               5.019248e-03          0.329034                   0.203112    0.320004             0.259496   0.758156            0.765816      0.765579               0.740662        0.370208                 0.333657
L2N32     0.832642              0.824965          0.655235                   0.828735          0.004834               4.545629e-03          0.344765                   0.171265    0.326175             0.242150   0.749111            0.745362      0.774727               0.762000        0.374756                 0.291445
L3N32     0.834792              0.812068          0.653615                   0.478202          0.001615               6.421268e-03          0.346385                   0.521798    0.287782             0.179341   0.724395            0.703768      0.789699               0.746545        0.356954                 0.386147
L4N32     0.833257              0.829418          0.709241                   0.806812          0.003750               6.550074e-03          0.290759                   0.193188    0.331500             0.191416   0.746685            0.721727      0.776548               0.777809        0.349266                 0.350101
L5N32     0.838016              0.788884          0.699385                   0.313792          0.003029               6.556511e-07          0.300615                   0.686208    0.262468             0.077986   0.724558            0.574392      0.798293               0.799050        0.345700                 0.495277
L1N16     0.836327              0.823430          0.727491                   0.329736          0.003208               0.000000e+00          0.272509                   0.670264    0.315718             0.135211   0.747400            0.687297      0.782411               0.783783        0.348069                 0.386884
L2N16     0.831875              0.823277          0.715636                   0.876575          0.006962               0.000000e+00          0.284364                   0.123425    0.405455             0.247983   0.744904            0.741419      0.774399               0.759760        0.378163                 0.290159
L3N16     0.827115              0.828036          0.459329                   0.412661          0.002135               0.000000e+00          0.540671                   0.587339    0.195315             0.134423   0.723477            0.694468      0.771784               0.792509        0.412958                 0.431202
L4N16     0.831568              0.759251          0.691160                   0.000811          0.005217               0.000000e+00          0.308840                   0.999189    0.298380             0.000078   0.738604            0.500000      0.775716               0.379625        0.374579                 0.535568
L5N16     0.834485              0.759251          0.626156                   0.369643          0.005295               5.662441e-06          0.373844                   0.630357    0.251303             0.086796   0.752285            0.500000      0.777333               0.379625        0.378477                 0.382754
L1N8      0.831107              0.759251          0.579509                   0.364120          0.000000               0.000000e+00          0.420491                   0.635880    0.205837             0.105472   0.727848            0.500000      0.778904               0.379625        0.351353                 0.383378
L2N8      0.834178              0.809304          0.745493                   0.450772          0.006145               1.778662e-03          0.254507                   0.549228    0.323476             0.117390   0.749034            0.642063      0.777643               0.779162        0.350916                 0.355973
