       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.838323                 0.831414          0.512580                      0.826032      7.606745e-04                  3.421247e-03          0.487420                      0.173968    0.183868                0.171531   0.748279               0.725873      0.786223                  0.780534        0.363381                    0.296150  220.476853           333.557441
L2N64    2.0     64.0     0.840934                 0.831568          0.623576                      0.751894      7.826686e-04                  2.680004e-03          0.376424                      0.248106    0.247109                0.152200   0.755225               0.717481      0.789024                  0.785487        0.335042                    0.327503  264.287843           412.170872
L3N64    3.0     64.0     0.837709                 0.826040          0.573446                      0.699946      7.635951e-04                  5.076528e-03          0.426554                      0.300054    0.216522                0.178232   0.751577               0.749554      0.783771                  0.763185        0.329780                    0.373910  345.230868           499.565745
L4N64    4.0     64.0     0.834945                 0.830186          0.417345                      0.834845      6.474257e-04                  4.258156e-04          0.582655                      0.165155    0.139102                0.198353   0.723843               0.738347      0.790440                  0.773019        0.356930                    0.294873  401.141633           445.564639
L5N64    5.0     64.0     0.836481                 0.827422          0.549267                      0.755276      3.399849e-04                  9.782434e-03          0.450733                      0.244724    0.186564                0.206421   0.752292               0.750029      0.781122                  0.765384        0.355735                    0.367200  459.203035           643.970541
L1N32    1.0     32.0     0.838784                 0.819131          0.494006                      0.773556      1.047134e-03                  0.000000e+00          0.505994                      0.226444    0.185499                0.204321   0.744227               0.749577      0.788907                  0.752684        0.356287                    0.317369  216.977585           328.702169
L2N32    2.0     32.0     0.837249                 0.830953          0.474896                      0.739694      1.641870e-03                  9.806752e-04          0.525104                      0.260306    0.190592                0.163980   0.755411               0.722956      0.781674                  0.780878        0.366521                    0.292142  272.064266           402.028442
L3N32    3.0     32.0     0.838170                 0.833410          0.537288                      0.761813      1.286626e-03                  3.483593e-03          0.462712                      0.238187    0.186444                0.171038   0.734023               0.733720      0.792620                  0.781527        0.329670                    0.323884  235.077241           473.162448
L4N32    4.0     32.0     0.832028                 0.825580          0.440918                      0.600126      2.842367e-03                  3.916025e-05          0.559082                      0.399874    0.131110                0.174894   0.701016               0.752953      0.799651                  0.762061        0.344904                    0.355081  388.945448           549.056160
L5N32    5.0     32.0     0.834024                 0.821895          0.438619                      0.642250      4.547834e-04                  5.960464e-08          0.561381                      0.357750    0.114027                0.174230   0.713001               0.741162      0.795479                  0.757515        0.329925                    0.407198  436.957975           582.111399
L1N16    1.0     16.0     0.838630                 0.771841          0.445402                      0.289017      0.000000e+00                  0.000000e+00          0.554598                      0.710983    0.157993                0.054704   0.745651               0.530503      0.787948                  0.803340        0.364660                    0.374887  211.331319           321.402282
