       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.840319                 0.818977          0.910000                      0.727516      3.864288e-02                      0.000000          0.090000                      0.272484    0.609761            2.232313e-01   0.733697               0.703528      0.798312                  0.761454        0.348187                    0.327624  226.565934           344.308030
L2N64    2.0     64.0     0.838938                 0.825273          0.936721                      0.795032      3.854841e-02                      0.000017          0.063279                      0.204968    0.624364            2.163210e-01   0.732787               0.699398      0.795292                  0.779985        0.342182                    0.281678  290.353495           423.459095
L3N64    3.0     64.0     0.830953                 0.759251          0.805479                      0.392532      5.471164e-02                      0.031365          0.194521                      0.607468    0.487810            2.042220e-01   0.739071               0.500000      0.774325                  0.379625        0.391581                    0.304912  353.962963           392.160321
L4N64    4.0     64.0     0.837556                 0.826501          0.933901                      0.649834      2.474952e-02                      0.000688          0.066099                      0.350166    0.638766            2.007896e-01   0.757355               0.714580      0.781706                  0.774293        0.330702                    0.334646  418.653019           589.037268
L5N64    5.0     64.0     0.837863                 0.821895          0.824334                      0.822225      5.422878e-02                      0.016339          0.175666                      0.177775    0.532884            2.091966e-01   0.715311               0.691512      0.805330                  0.775711        0.376890                    0.283086  490.572017           665.603162
L1N32    1.0     32.0     0.838016                 0.827422          0.891121                      0.527097      2.409410e-02                      0.000000          0.108879                      0.472903    0.570113            1.408101e-01   0.733922               0.742843      0.792296                  0.766668        0.341139                    0.353422  228.775167           233.161411
L2N32    2.0     32.0     0.835867                 0.819131          0.857568                      0.782425      2.708668e-02                      0.002832          0.142432                      0.217575    0.530107            2.548827e-01   0.727934               0.738471      0.790345                  0.753369        0.361208                    0.355999  282.654838           414.547968
L3N32    3.0     32.0     0.841087                 0.817596          0.942343                      0.508741      4.475772e-02                      0.000014          0.057657                      0.491259    0.657289            1.892989e-01   0.730718               0.672348      0.802420                  0.777622        0.331870                    0.333432  339.858213           504.559885
L4N32    4.0     32.0     0.835560                 0.759251          0.790719                      0.321105      5.994254e-02                      0.017471          0.209281                      0.678895    0.564676            1.641651e-01   0.736660               0.500000      0.785068                  0.379625        0.386768                    0.302645  403.970283           450.235456
L5N32    5.0     32.0     0.832182                 0.759251          0.895403                      0.440684      5.290562e-02                      0.000009          0.104597                      0.559316    0.592203            1.917536e-01   0.752292               0.500000      0.773141                  0.379625        0.371825                    0.271700  453.763487           644.279935
