       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore    BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.837402                 0.823891          0.917911                      0.821124          0.058422                  3.168583e-04          0.082089                      0.178876  6.115972e-01                0.260770   0.726985               0.732242      0.794942                  0.762552        0.344574                    0.294847  221.010092           218.416666
L2N64    2.0     64.0     0.838323                 0.823430          0.937752                      0.797265          0.043603                  2.635121e-04          0.062248                      0.202735  6.330830e-01                0.243111   0.750457               0.717130      0.785408                  0.766132        0.333364                    0.281499  282.206716           413.929824
L3N64    3.0     64.0     0.840166                 0.828036          0.961666                      0.792087          0.046140                  4.662275e-02          0.038334                      0.207913  7.488204e-01                0.272897   0.759292               0.734972      0.786108                  0.769778        0.318771                    0.279622  346.086012           489.603337
L4N64    4.0     64.0     0.839398                 0.772148          0.908644                      0.344365          0.050887                  2.963698e-02          0.091356                      0.655635  6.097559e-01                0.167147   0.742672               0.533101      0.791020                  0.783698        0.347066                    0.326525  404.587623           568.555838
L5N64    5.0     64.0     0.838323                 0.818670          0.875313                      0.523989          0.054448                  4.652804e-02          0.124687                      0.476011  5.924243e-01                0.174979   0.737827               0.659772      0.790928                  0.796654        0.328918                    0.314914  446.617963           646.619274
L1N32    1.0     32.0     0.835406                 0.826808          0.907821                      0.498414          0.097058                  0.000000e+00          0.092179                      0.501586  6.442186e-01                0.120926   0.722404               0.718484      0.792594                  0.773189        0.338066                    0.362530  217.187423           327.977532
L2N32    2.0     32.0     0.837863                 0.826654          0.871198                      0.724462          0.065650                  7.385015e-04          0.128802                      0.275538  5.987282e-01                0.235073   0.732950               0.733626      0.792467                  0.767457        0.347655                    0.318418  275.225999           402.915781
L3N32    3.0     32.0     0.837249                 0.760172          0.921547                      0.424801          0.027093                  0.000000e+00          0.078453                      0.575199  6.306325e-01                0.092212   0.722311               0.502131      0.797764                  0.817515        0.336008                    0.404011  248.390577           480.369179
L4N32    4.0     32.0     0.836020                 0.759251          0.827564                      0.399101          0.077798                  2.980232e-07          0.172436                      0.600899  5.794776e-01                0.165084   0.717147               0.500000      0.798133                  0.379625        0.354902                    0.298731  387.814216           552.350262
L5N32    5.0     32.0     0.834331                 0.759251          0.869796                      0.188023          0.021246                  2.980232e-07          0.130204                      0.811977  5.372439e-01                0.082823   0.733673               0.500000      0.783636                  0.379625        0.322796                    0.516343  442.604705           621.484755
L1N16    1.0     16.0     0.830953                 0.820052          0.801768                      0.560287          0.048699                  1.776218e-04          0.198232                      0.439713  4.336885e-01                0.225263   0.713592               0.746046      0.786303                  0.754187        0.363080                    0.323358  136.741628           329.033907
L2N16    2.0     16.0     0.831875                 0.805927          0.928103                      0.414406          0.086944                  3.170967e-05          0.071897                      0.585594  6.200324e-01                0.112843   0.766680               0.621546      0.770364                  0.797207        0.371172                    0.360682  270.210322           398.402957
L3N16    3.0     16.0     0.825273                 0.759251          0.746661                      0.426870          0.015741                  3.218651e-05          0.253339                      0.573130  4.394921e-01                0.200884   0.751226               0.500000      0.761760                  0.379625        0.371555                    0.334057  325.787081           477.165251
L4N16    4.0     16.0     0.759251                 0.759251          0.049949                      0.010548          0.000010                  0.000000e+00          0.950051                      0.989452  1.862209e-02                0.003184   0.500000               0.500000      0.379625                  0.379625        0.525344                    0.550347  387.275333           428.600799
L5N16    5.0     16.0     0.833103                 0.759251          0.773323                      0.238347          0.025608                  1.254678e-04          0.226677                      0.761653  4.259419e-01                0.096404   0.706733               0.500000      0.797876                  0.379625        0.337868                    0.445147  439.980822           618.565316
L1N8     1.0      8.0     0.819592                 0.759251          0.712174                      0.361438          0.000000                  0.000000e+00          0.287826                      0.638562  2.803165e-01                0.187661   0.705457               0.500000      0.762080                  0.379625        0.412854                    0.321560  215.063753           329.041642
L2N8     2.0      8.0     0.759251                 0.759251          0.418407                      0.345417          0.000000                  0.000000e+00          0.581593                      0.654583  1.509997e-01                0.149503   0.500000               0.500000      0.379625                  0.379625        0.393659                    0.320082  269.886484           398.808148
L3N8     3.0      8.0     0.831721                 0.759251          0.911195                      0.414882          0.030711                  5.245209e-06          0.088805                      0.585118  5.614005e-01                0.148047   0.742625               0.500000      0.774756                  0.379625        0.335642                    0.354093  286.188782           471.741253
L4N8     4.0      8.0     0.813604                 0.759251          0.784629                      0.021979          0.041080                  0.000000e+00          0.215371                      0.978021  3.838904e-01                0.000939   0.719370               0.500000      0.746474                  0.379625        0.369710                    0.548721  381.484674           543.283335
L5N8     5.0      8.0     0.832949                 0.759251          0.665235                      0.001073          0.029433                  0.000000e+00          0.334765                      0.998927  4.120912e-01                0.000093   0.720351               0.500000      0.787360                  0.379625        0.403541                    0.583055  433.690341           573.048044
L1N4     1.0      4.0     0.759251                 0.759251          0.380173                      0.422706          0.000000                  0.000000e+00          0.619827                      0.577294  1.318441e-01                0.201849   0.500000               0.500000      0.379625                  0.379625        0.426975                    0.255082  218.880020           328.548359
L2N4     2.0      4.0     0.828190                 0.759251          0.762076                      0.384674          0.000715                  0.000000e+00          0.237924                      0.615326  3.990107e-01                0.127562   0.726580               0.500000      0.772927                  0.379625        0.362118                    0.322061  272.441288           400.993174
L3N4     3.0      4.0     0.832182                 0.759251          0.656469                      0.440508          0.000000                  0.000000e+00          0.343531                      0.559492  3.754953e-01                0.199486   0.729862               0.500000      0.780455                  0.379625        0.373410                    0.309233  336.751633           483.508873
L4N4     4.0      4.0     0.759251                 0.759251          0.000000                      0.000000          0.000000                  0.000000e+00          1.000000                      1.000000  0.000000e+00                0.000000   0.500000               0.500000      0.379625                  0.379625        0.566925                    0.531736  388.452523           557.829924
L5N4     5.0      4.0     0.830953                 0.759251          0.871584                      0.005356          0.000000                  0.000000e+00          0.128416                      0.994644  3.237277e-01                0.003660   0.724045               0.500000      0.780332                  0.379625        0.330380                    0.580057  445.998437           630.538570
L1N2     1.0      2.0     0.836327                 0.759251          0.861480                      0.316917          0.011061                  0.000000e+00          0.138520                      0.683083  4.753895e-01                0.141306   0.720180               0.500000      0.796713                  0.379625        0.367088                    0.291782  220.886998           337.411353
L2N2     2.0      2.0     0.744511                 0.759251          0.523000                      0.000000          0.000000                  0.000000e+00          0.477000                      1.000000  2.057160e-01                0.000000   0.760976               0.500000      0.699367                  0.379625        0.399964                    0.510382  277.141230           309.702884
L3N2     3.0      2.0     0.759251                 0.759251          0.000000                      0.291407          0.000000                  0.000000e+00          1.000000                      0.708593  0.000000e+00                0.066456   0.500000               0.500000      0.379625                  0.379625        0.514893                    0.429045  331.344537           482.191970
L4N2     4.0      2.0     0.759251                 0.759251          0.028294                      0.000000          0.000000                  0.000000e+00          0.971706                      1.000000  1.649908e-04                0.000000   0.500000               0.500000      0.379625                  0.379625        0.538858                    0.514076  404.494029           489.979983
