       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.838784                 0.830032          0.668472                      0.867504          0.002135                      0.000126          0.331528                      0.132496    0.334938            2.279472e-01   0.745970               0.743255      0.788148                  0.771349        0.351707                    0.279683  226.525285           277.839505
L2N64    2.0     64.0     0.836481                 0.819899          0.662439                      0.809085          0.003048                      0.010381          0.337561                      0.190915    0.324155            2.618304e-01   0.731605               0.769900      0.789792                  0.754135        0.336939                    0.333512  294.446148           425.771906
L3N64    3.0     64.0     0.844465                 0.829418          0.827094                      0.497344          0.005091                      0.030809          0.172906                      0.502656    0.497329            2.066799e-01   0.767567               0.740455      0.791804                  0.770921        0.343946                    0.335678  371.715096           502.828548
L4N64    4.0     64.0     0.835099                 0.827883          0.718212                      0.719907          0.000360                      0.009647          0.281788                      0.280093    0.351715            2.407067e-01   0.759657               0.735306      0.776707                  0.769380        0.324731                    0.341391  411.360460           569.637609
L5N64    5.0     64.0     0.840473                 0.829418          0.758214                      0.917419          0.003245                      0.004102          0.241786                      0.082581    0.379936            2.337543e-01   0.775173               0.746988      0.782823                  0.769360        0.363026                    0.261923  485.029809           671.724597
L1N32    1.0     32.0     0.835560                 0.827269          0.678042                      0.808125          0.001403                      0.004929          0.321958                      0.191875    0.325733            2.050221e-01   0.729038               0.738604      0.788936                  0.767340        0.338730                    0.327684  226.739742           399.253982
L2N32    2.0     32.0     0.836634                 0.828957          0.701486                      0.781232          0.004072                      0.002083          0.298514                      0.218768    0.351120            2.528827e-01   0.749998               0.749951      0.782148                  0.767982        0.355481                    0.291226  287.629876           426.210569
L3N32    3.0     32.0     0.837249                 0.826347          0.638368                      0.419774          0.002160                      0.017646          0.361632                      0.580226    0.323574            1.876026e-01   0.728190               0.702719      0.793760                  0.780766        0.368240                    0.362556  374.834301           527.808145
L4N32    4.0     32.0     0.830339                 0.826654          0.571759                      0.547174          0.003152                      0.008017          0.428241                      0.452826    0.257741            1.695790e-01   0.756523               0.735368      0.769217                  0.766992        0.378669                    0.401225  410.081342           570.933189
L5N32    5.0     32.0     0.832489                 0.830186          0.602040                      0.654225          0.003210                      0.000002          0.397960                      0.345775    0.268892            2.007622e-01   0.724403               0.728330      0.783870                  0.776617        0.345175                    0.342826  458.679371           650.832897
L1N16    1.0     16.0     0.831721                 0.803624          0.625662                      0.354597          0.003247                      0.000000          0.374338                      0.645403    0.304206            1.195821e-01   0.749376               0.634402      0.772971                  0.763763        0.361489                    0.395456  219.889483           335.151276
L2N16    2.0     16.0     0.833410                 0.822969          0.528680                      0.631321          0.003615                      0.002878          0.471320                      0.368679    0.258319            1.387512e-01   0.726098               0.680678      0.785228                  0.788449        0.364842                    0.287891  276.570618           286.610105
L3N16    3.0     16.0     0.825733                 0.808383          0.593773                      0.365017          0.000000                      0.000892          0.406227                      0.634983    0.216521            1.238738e-01   0.692080               0.636883      0.787100                  0.782373        0.361934                    0.406378  334.566423           485.640536
L4N16    4.0     16.0     0.830339                 0.759251          0.603431                      0.389971          0.000485                      0.000000          0.396569                      0.610029    0.299681            6.867120e-02   0.745635               0.500000      0.771331                  0.379625        0.384366                    0.354583  393.081084           554.532380
L5N16    5.0     16.0     0.828343                 0.759251          0.552748                      0.001256          0.000000                      0.000000          0.447252                      0.998744    0.258791            3.467420e-04   0.747369               0.500000      0.767396                  0.379625        0.387672                    0.534435  446.301878           509.776171
L1N8     1.0      8.0     0.837863                 0.810533          0.700931                      0.457117          0.002676                      0.000000          0.299069                      0.542883    0.330357            1.299639e-01   0.727506               0.724752      0.795833                  0.740965        0.344925                    0.358022  218.361561           342.195601
L2N8     2.0      8.0     0.825426                 0.826040          0.550815                      0.776676          0.000000                      0.000000          0.449185                      0.223324    0.196336            2.197686e-01   0.722365               0.718632      0.768531                  0.771359        0.358496                    0.327383  279.658399           407.694931
L3N8     3.0      8.0     0.830493                 0.759251          0.647980                      0.000705          0.005608                      0.000000          0.352020                      0.999295    0.270197            4.872883e-07   0.722217               0.500000      0.780139                  0.379625        0.368313                    0.598370  333.806132           482.221803
