       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.834331                 0.826194          0.614077                      0.805835          0.002590                  0.000000e+00          0.385923                      0.194165    0.285991                0.220197   0.711679               0.734194      0.797473                  0.766418        0.347011                    0.288303  232.985690           347.747960
L2N64    2.0     64.0     0.839552                 0.830493          0.732426                      0.795890          0.003278                  2.571344e-04          0.267574                      0.204110    0.366589                0.224658   0.736458               0.733323      0.794668                  0.775332        0.342491                    0.273186  289.033681           308.273798
L3N64    3.0     64.0     0.837863                 0.824044          0.773505                      0.895987          0.005758                  3.045797e-05          0.226495                      0.104013    0.377047                0.260667   0.741879               0.758039      0.787901                  0.759400        0.332152                    0.242255  356.640682           508.212451
L4N64    4.0     64.0     0.839859                 0.826654          0.774266                      0.818591          0.004772                  4.785061e-04          0.225734                      0.181409    0.398372                0.251117   0.750597               0.742772      0.788557                  0.765321        0.330786                    0.294119  413.109129           581.485449
L5N64    5.0     64.0     0.841394                 0.759251          0.726638                      0.108755          0.003338                  3.710568e-03          0.273362                      0.891245    0.419553                0.046787   0.748124               0.500000      0.792977                  0.379625        0.343159                    0.532348  372.034158           665.970469
L1N32    1.0     32.0     0.839552                 0.829879          0.720132                      0.817418          0.004245                  0.000000e+00          0.279868                      0.182582    0.338543                0.207110   0.747128               0.728781      0.789331                  0.775753        0.344773                    0.299065  228.298905           346.987034
L2N32    2.0     32.0     0.839859                 0.828343          0.743976                      0.761400          0.003019                  4.237056e-03          0.256024                      0.238600    0.363828                0.166683   0.739273               0.701638      0.793849                  0.787371        0.333375                    0.295785  287.817111           423.349713
L3N32    3.0     32.0     0.838170                 0.828036          0.815286                      0.716196          0.003682                  1.838326e-03          0.184714                      0.283804    0.392447                0.215893   0.744912               0.726697      0.787256                  0.772549        0.330290                    0.300679  344.995400           371.730843
L4N32    4.0     32.0     0.832796                 0.779518          0.589655                      0.321745          0.006072                  6.538093e-03          0.410345                      0.678255    0.255942                0.121044   0.714152               0.549931      0.791047                  0.800812        0.362330                    0.354980  417.006265           572.437833
L5N32    5.0     32.0     0.835253                 0.759251          0.685337                      0.017555          0.005249                  2.980232e-07          0.314663                      0.982445    0.301837                0.003818   0.739289               0.500000      0.783239                  0.379625        0.364587                    0.556331  467.155791           615.864510
L1N16    1.0     16.0     0.838323                 0.821434          0.618962                      0.736555          0.004552                  0.000000e+00          0.381038                      0.263445    0.330942                0.213642   0.730858               0.735633      0.794895                  0.757518        0.357548                    0.345697  219.347464           332.985252
L2N16    2.0     16.0     0.839552                 0.759251          0.791355                      0.373786          0.003321                  4.014194e-03          0.208645                      0.626214    0.352678                0.117110   0.746040               0.500000      0.789807                  0.379625        0.331939                    0.355564  278.145039           423.798859
L3N16    3.0     16.0     0.834638                 0.828190          0.719352                      0.683946          0.005731                  7.276535e-04          0.280648                      0.316054    0.330708                0.208905   0.709704               0.730500      0.800121                  0.771503        0.342809                    0.327680  243.222288           479.026306
L4N16    4.0     16.0     0.832642                 0.828343          0.690512                      0.799821          0.003894                  8.741498e-03          0.309488                      0.200179    0.269218                0.216320   0.726028               0.750853      0.783391                  0.766791        0.349419                    0.354432  387.232295           552.646934
L5N16    5.0     16.0     0.819745                 0.759251          0.405392                      0.001435          0.000001                  1.788139e-07          0.594608                      0.998565    0.128657                0.000381   0.683999               0.500000      0.774775                  0.379625        0.396999                    0.522909  448.335108           637.952961
L1N8     1.0      8.0     0.831414                 0.759251          0.663502                      0.374327          0.000000                  0.000000e+00          0.336498                      0.625673    0.275352                0.075665   0.730228               0.500000      0.778559                  0.379625        0.361030                    0.392084  134.744219           336.061944
L2N8     2.0      8.0     0.825119                 0.759251          0.645133                      0.011230          0.004297                  0.000000e+00          0.354867                      0.988770    0.255761                0.000012   0.733486               0.500000      0.764557                  0.379625        0.344248                    0.598988  274.672999           405.102401
