       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore    BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.835713                 0.820359          0.618803                      0.868674          0.002701                      0.002098          0.381197                      0.131326  2.705854e-01                0.245213   0.739810               0.759750      0.784030                  0.754294        0.358079                    0.301251  227.420414           343.590482
L2N64    2.0     64.0     0.837402                 0.826347          0.725636                      0.788095          0.001809                      0.001644          0.274364                      0.211905  3.655630e-01                0.167154   0.741575               0.713607      0.787006                  0.774402        0.326960                    0.313267  280.387779           433.831315
L3N64    3.0     64.0     0.839245                 0.825426          0.736421                      0.804246          0.006569                      0.000908          0.263579                      0.195754  4.125922e-01                0.202946   0.764130               0.727591      0.783039                  0.766779        0.357234                    0.337913  357.545541           511.640789
L4N64    4.0     64.0     0.838323                 0.822355          0.730099                      0.388229          0.002779                      0.029675          0.269901                      0.611771  3.993466e-01                0.189902   0.755683               0.683758      0.783657                  0.783370        0.339993                    0.336877  416.981077           582.865067
L5N64    5.0     64.0     0.834792                 0.826347          0.628297                      0.554213          0.002113                      0.007142          0.371703                      0.445787  3.448990e-01                0.240992   0.742470               0.726891      0.781010                  0.768895        0.364959                    0.352042  361.954111           665.358325
L1N32    1.0     32.0     0.835713                 0.827422          0.712040                      0.783602          0.003536                      0.004798          0.287960                      0.216398  3.632876e-01                0.204169   0.768555               0.736527      0.776148                  0.768154        0.344230                    0.303307  230.838414           340.881493
L2N32    2.0     32.0     0.837556                 0.828343          0.749515                      0.765438          0.005072                      0.004545          0.250485                      0.234562  3.222609e-01                0.205204   0.729917               0.725375      0.793487                  0.773739        0.351153                    0.292400  282.457678           415.301730
L3N32    3.0     32.0     0.832949                 0.823430          0.758157                      0.778776          0.002126                      0.004651          0.241843                      0.221224  3.601177e-01                0.246693   0.745394               0.744351      0.776331                  0.759616        0.333703                    0.314185  305.169526           501.163932
L4N32    4.0     32.0     0.840166                 0.728696          0.768636                      0.656617          0.003114                      0.002431          0.231364                      0.343383  3.620940e-01                0.254442   0.739040               0.766893      0.794724                  0.698466        0.353039                    0.319530  398.001691           567.357876
L5N32    5.0     32.0     0.836788                 0.830339          0.663899                      0.707449          0.003086                      0.003514          0.336101                      0.292551  3.105126e-01                0.202929   0.736380               0.734964      0.788034                  0.774429        0.374341                    0.393661  468.523229           604.012375
L1N16    1.0     16.0     0.827576                 0.759251          0.592529                      0.379948          0.005280                      0.000000          0.407471                      0.620052  2.609376e-01                0.110997   0.744904               0.500000      0.766527                  0.379625        0.375961                    0.392872  224.417794           341.640632
L2N16    2.0     16.0     0.838170                 0.824812          0.767878                      0.453909          0.007646                      0.000000          0.232122                      0.546091  3.299329e-01                0.144980   0.731410               0.699748      0.794158                  0.778435        0.351043                    0.344212  278.909533           409.788149
L3N16    3.0     16.0     0.827883                 0.759251          0.651501                      0.355654          0.005456                      0.000000          0.348499                      0.644346  2.805497e-01                0.101761   0.747066               0.500000      0.766655                  0.379625        0.364064                    0.409790  332.587168           388.627650
L4N16    4.0     16.0     0.829879                 0.827729          0.724430                      0.637682          0.004022                      0.001625          0.275570                      0.362318  2.623278e-01                0.167160   0.707440               0.714082      0.787534                  0.777575        0.354439                    0.293023  391.512707           561.789924
L5N16    5.0     16.0     0.834024                 0.804238          0.669484                      0.373543          0.005616                      0.019367          0.330516                      0.626457  3.029723e-01                0.128533   0.746537               0.620870      0.778086                  0.788140        0.368015                    0.400746  446.504330           628.015248
L1N8     1.0      8.0     0.819131                 0.759251          0.420186                      0.398286          0.000000                      0.000000          0.579814                      0.601714  1.314428e-01                0.085397   0.721921               0.500000      0.755987                  0.379625        0.401262                    0.394127  217.395506           261.116876
L2N8     2.0      8.0     0.833410                 0.785045          0.733951                      0.442858          0.000000                      0.000000          0.266049                      0.557142  3.344057e-01                0.119333   0.755279               0.594076      0.774672                  0.726154        0.354594                    0.353035  275.100224           413.040727
