       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore    BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.839705                 0.826654          0.294476                      0.690517               0.0                           0.0          0.705524                      0.309483  3.995762e-02            1.508441e-01   0.757900               0.753879      0.785651                  0.763643        0.334605                    0.333522  224.624429           348.124797
L2N64    2.0     64.0     0.835099                 0.825733          0.149732                      0.853355               0.0                           0.0          0.850268                      0.146645  2.076532e-02            1.789812e-01   0.719371               0.763942      0.793826                  0.761565        0.346645                    0.321501  292.413795           296.465144
L3N64    3.0     64.0     0.838784                 0.826040          0.217611                      0.807954               0.0                           0.0          0.782389                      0.192046  3.085792e-02            1.461879e-01   0.745316               0.711010      0.788428                  0.774979        0.362964                    0.305505  354.086129           499.116645
L4N64    4.0     64.0     0.838323                 0.823584          0.197369                      0.761324               0.0                           0.0          0.802631                      0.238676  3.942495e-02            1.643168e-01   0.751546               0.744234      0.785019                  0.759881        0.343953                    0.300927  409.469781           583.542744
L5N64    5.0     64.0     0.832335                 0.782896          0.177865                      0.839384               0.0                           0.0          0.822135                      0.160616  3.187068e-02            2.767380e-01   0.757184               0.803022      0.772438                  0.734695        0.362791                    0.287551  474.223167           541.307200
L1N32    1.0     32.0     0.834485                 0.820206          0.173200                      0.559680               0.0                           0.0          0.826800                      0.440320  1.529621e-02            1.480882e-01   0.722233               0.750721      0.790236                  0.754184        0.353137                    0.344255  231.193841           340.542947
L2N32    2.0     32.0     0.839552                 0.826961          0.284359                      0.674018               0.0                           0.0          0.715641                      0.325982  2.912759e-02            1.706369e-01   0.760412               0.768671      0.784599                  0.763137        0.339678                    0.344847  284.270081           418.695576
L3N32    3.0     32.0     0.838477                 0.824812          0.284644                      0.707965               0.0                           0.0          0.715356                      0.292035  3.069739e-02            1.419960e-01   0.730306               0.725880      0.795644                  0.766061        0.352962                    0.317887  344.376574           371.656521
L4N32    4.0     32.0     0.829111                 0.805466          0.174988                      0.764461               0.0                           0.0          0.825012                      0.235539  2.091208e-02            2.280111e-01   0.695611               0.777598      0.795031                  0.740572        0.355437                    0.276089  396.137117           568.433318
L5N32    5.0     32.0     0.836174                 0.820359          0.314826                      0.514444               0.0                           0.0          0.685174                      0.485556  5.986673e-02            1.032982e-01   0.747082               0.754306      0.782209                  0.754306        0.326548                    0.359826  463.262959           656.700325
L1N16    1.0     16.0     0.834485                 0.828957          0.212031                      0.526991               0.0                           0.0          0.787969                      0.473009  2.198647e-02            1.045125e-01   0.746187               0.719028      0.779106                  0.778032        0.350102                    0.332030  222.390322           212.427732
L2N16    2.0     16.0     0.833717                 0.821434          0.167870                      0.689932               0.0                           0.0          0.832130                      0.310068  2.956104e-02            1.725952e-01   0.741544               0.760458      0.779113                  0.755730        0.357056                    0.348188  277.738296           407.289867
L3N16    3.0     16.0     0.831721                 0.822048          0.134103                      0.477471               0.0                           0.0          0.865897                      0.522529  1.501076e-02            6.510513e-02   0.718671               0.756943      0.785169                  0.756608        0.368888                    0.364855  332.841175           483.338220
L4N16    4.0     16.0     0.828036                 0.820206          0.190815                      0.377491               0.0                           0.0          0.809185                      0.622509  3.486072e-02            6.843933e-02   0.754135               0.747672      0.765810                  0.754321        0.381464                    0.316008  391.963608           556.095044
L5N16    5.0     16.0     0.759251                 0.759251          0.075246                      0.000089               0.0                           0.0          0.924754                      0.999911  7.698588e-03            6.781092e-07   0.500000               0.500000      0.379625                  0.379625        0.420442                    0.531460  389.965251           632.212659
L1N8     1.0      8.0     0.829265                 0.826194          0.115345                      0.683191               0.0                           0.0          0.884655                      0.316809  1.745345e-02            1.461758e-01   0.742096               0.727226      0.770205                  0.768465        0.379670                    0.300318  219.281388           335.011977
L2N8     2.0      8.0     0.830186                 0.820973          0.153632                      0.162163               0.0                           0.0          0.846368                      0.837837  1.984785e-02            3.810745e-02   0.730726               0.713553      0.775654                  0.762090        0.382576                    0.425814  277.946681           372.118616
L3N8     3.0      8.0     0.832489                 0.759251          0.166927                      0.000501               0.0                           0.0          0.833073                      0.999499  3.851229e-02            2.964693e-06   0.764689               0.500000      0.771544                  0.379625        0.381111                    0.597596  331.719776           483.473861
L4N8     4.0      8.0     0.759251                 0.819592          0.200087                      0.117659               0.0                           0.0          0.799913                      0.882341  1.503154e-02            2.131936e-02   0.500000               0.685640      0.379625                  0.773080        0.403956                    0.513717  392.426347           561.229557
L5N8     5.0      8.0     0.759251                 0.759251          0.000352                      0.002460               0.0                           0.0          0.999648                      0.997540  1.636140e-06            6.412665e-05   0.500000               0.500000      0.379625                  0.379625        0.553572                    0.532803  447.487450           503.202983
L1N4     1.0      4.0     0.818977                 0.759251          0.244384                      0.354548               0.0                           0.0          0.755616                      0.645452  2.233802e-02            2.180694e-02   0.732708               0.500000      0.753787                  0.379625        0.402512                    0.401447  216.934071           330.835488
